ilan_no,room,salon,brut_m2,net_m2,floor_location,building_age,building_floor,compliance_with_loan,bathroom_amount,building_type,fuel_type,price,il,ilce,mahalle,home_link
129332-570,5,1,350,300,Villa Katı,10,4,True,2,Betonarme,Doğalgaz,,Balıkesir,Edremit,Akçay,https://www.hepsiemlak.com//en/sakarya-karasu-yali-satilik/daire/113900-812

129332-570,5,1,350,300,Villa Katı,10,4,True,2,Betonarme,Doğalgaz,,Balıkesir,Edremit,Akçay,https://www.hepsiemlak.com//en/sakarya-karasu-yali-satilik/daire/122716-420

129332-570,5,1,350,300,Villa Katı,10,4,True,2,Betonarme,Doğalgaz,,Balıkesir,Edremit,Akçay,https://www.hepsiemlak.com//en/sakarya-karasu-yali-satilik/daire/122716-514

1358-3511,3,1,220,200,3,50,5,True,1,Betonarme,Doğalgaz,13000000,İstanbul,Şişli,Teşvikiye,https://www.hepsiemlak.com//en/istanbul-sisli-tesvikiye-satilik/daire/1358-3511

2608-4154,2,1,100,85,Yüksek Giriş,30,5,True,2,Betonarme,Doğalgaz,9200000,İstanbul,Beşiktaş,Nisbetiye,https://www.hepsiemlak.com//en/istanbul-besiktas-nisbetiye-satilik/daire/2608-4154

2608-4367,3,1,128,120,3,50,4,True,1,Betonarme,Doğalgaz,8750000,İstanbul,Beşiktaş,Akat,https://www.hepsiemlak.com//en/istanbul-besiktas-akat-satilik/daire/2608-4367

2608-4283,2,1,93,83,3,6,11,True,1,Betonarme,Doğalgaz,5400000,İstanbul,Beşiktaş,Dikilitaş,https://www.hepsiemlak.com//en/istanbul-besiktas-dikilitas-satilik/daire/2608-4283

2608-4283,2,1,93,83,3,6,11,True,1,Betonarme,Doğalgaz,,İstanbul,Beşiktaş,Dikilitaş,https://www.hepsiemlak.com//en/istanbul-sisli-mesrutiyet-satilik/daire/2608-4024

2608-4392,10,4,360,331,2,40,2,True,4,Betonarme,Doğalgaz,18000000,İstanbul,Beşiktaş,Kuruçeşme,https://www.hepsiemlak.com//en/istanbul-besiktas-kurucesme-satilik/daire/2608-4392

2608-4331,4,1,300,280,Ara Kat,37,5,True,2,Betonarme,Doğalgaz,20400000,İstanbul,Şişli,Fulya,https://www.hepsiemlak.com//en/istanbul-sisli-fulya-satilik/daire/2608-4331

135696-131,2,1,110,100,1,0,4,True,1,Betonarme,Elektrik,1550000,Balıkesir,Edremit,Altınkum,https://www.hepsiemlak.com//en/balikesir-edremit-altinkum-satilik/daire/135696-131

131598-132,2,2,115,100,Ara Kat,5,3,True,2,Betonarme,Doğalgaz,1500000,Burdur,Merkez,Recep,https://www.hepsiemlak.com//en/burdur-merkez-recep-satilik/daire/131598-132

131598-139,1,1,55,50,Ara Kat,5,3,True,1,Betonarme,Doğalgaz,875000,Burdur,Merkez,Recep,https://www.hepsiemlak.com//en/burdur-merkez-recep-satilik/daire/131598-139

121517-415,3,1,145,135,2,0,5,True,1,Betonarme,Doğalgaz,1799000,İstanbul,Beylikdüzü,Cumhuriyet,https://www.hepsiemlak.com//en/istanbul-beylikduzu-cumhuriyet-satilik/daire/121517-415

121517-413,1,1,90,70,13,4,18,True,1,Betonarme,Doğalgaz,1149000,İstanbul,Beylikdüzü,Cumhuriyet,https://www.hepsiemlak.com//en/istanbul-beylikduzu-cumhuriyet-satilik/daire/121517-413

135585-4,3,1,100,95,Ara Kat,8,4,True,2,Betonarme,Doğalgaz,1650000,Balıkesir,Edremit,Akçay,https://www.hepsiemlak.com//en/balikesir-edremit-akcay-satilik/daire/135585-4

121804-2332,2,1,100,90,Yüksek Giriş,1,4,True,1,Betonarme,Akaryakıt,1750000,Balıkesir,Edremit,Akçay,https://www.hepsiemlak.com//en/balikesir-edremit-akcay-satilik/daire/121804-2332

134549-81,3,1,150,135,4,9,19,True,2,Betonarme,Doğalgaz,5600000,İstanbul,Maltepe,Başıbüyük,https://www.hepsiemlak.com//en/istanbul-maltepe-basibuyuk-satilik/daire/134549-81

114614-1109,2,1,115,95,Ara Kat,4,4,True,1,Betonarme,Doğalgaz,700000,Kayseri,Develi,ŞehitÜsteğmenHasanŞahan,https://www.hepsiemlak.com//en/kayseri-develi-sehit-ustegmen-hasan-sahan-satilik/daire/114614-1109

114614-1109,2,1,115,95,Ara Kat,4,4,True,1,Betonarme,Doğalgaz,,Kayseri,Develi,ŞehitÜsteğmenHasanŞahan,https://www.hepsiemlak.com//en/istanbul-esenyurt-akevler-satilik/daire/129213-461

114614-1109,2,1,115,95,Ara Kat,4,4,True,1,Betonarme,Doğalgaz,,Kayseri,Develi,ŞehitÜsteğmenHasanŞahan,https://www.hepsiemlak.com//en/istanbul-silivri-selimpasa-satilik/daire/129213-487

135302-18,3,1,140,125,2,0,6,True,2,Çelik,Doğalgaz,2300000,İstanbul,Beylikdüzü,Marmara,https://www.hepsiemlak.com//en/istanbul-beylikduzu-marmara-satilik/daire/135302-18

42363-1044,3,1,130,120,3,47,4,True,1,Betonarme,Doğalgaz,2450000,Ankara,Çankaya,Barbaros,https://www.hepsiemlak.com//en/ankara-cankaya-barbaros-satilik/daire/42363-1044

135302-20,3,1,170,160,10,5,12,True,2,Çelik,Doğalgaz,3400000,İstanbul,Beylikdüzü,Barış,https://www.hepsiemlak.com//en/istanbul-beylikduzu-baris-satilik/daire/135302-20

44764-20404,1,1,86,65,8,4,22,True,1,Betonarme,Doğalgaz,5800000,İstanbul,Sarıyer,Maslak,https://www.hepsiemlak.com//en/istanbul-sariyer-maslak-satilik/daire/44764-20404

94651-5394,1,1,65,60,2,0,4,True,1,Betonarme,Kömür-Odun,1250000,Balıkesir,Edremit,Akçay,https://www.hepsiemlak.com//en/balikesir-edremit-akcay-satilik/daire/94651-5394

94651-5394,1,1,65,60,2,0,4,True,1,Betonarme,Kömür-Odun,,Balıkesir,Edremit,Akçay,https://www.hepsiemlak.com//en/balikesir-edremit-akcay-satilik/daire/94651-5386

94651-4882,2,1,105,100,1,1,4,True,1,Betonarme,Kömür-Odun,1975000,Balıkesir,Edremit,Akçay,https://www.hepsiemlak.com//en/balikesir-edremit-akcay-satilik/daire/94651-4882

8581-420,3,1,135,130,9,30,9,True,1,Betonarme,Doğalgaz,3800000,Ankara,Çankaya,Çiğdem,https://www.hepsiemlak.com//en/ankara-cankaya-cigdem-satilik/daire/8581-420

8581-420,3,1,135,130,9,30,9,True,1,Betonarme,Doğalgaz,,Ankara,Çankaya,Çiğdem,https://www.hepsiemlak.com//en/sakarya-karasu-yali-satilik/daire/54537-2588

2545-6921,4,1,195,190,6,5,16,True,2,Betonarme,Doğalgaz,3500000,Ankara,Pursaklar,MimarSinan,https://www.hepsiemlak.com//en/ankara-pursaklar-mimar-sinan-satilik/daire/2545-6921

2545-6921,4,1,195,190,6,5,16,True,2,Betonarme,Doğalgaz,,Ankara,Pursaklar,MimarSinan,https://www.hepsiemlak.com//en/sakarya-karasu-yali-satilik/daire/113900-810

2545-6921,4,1,195,190,6,5,16,True,2,Betonarme,Doğalgaz,,Ankara,Pursaklar,MimarSinan,https://www.hepsiemlak.com//en/antalya-gazipasa-istiklal-satilik/daire/135808-24

51556-3731,2,1,80,70,Ara Kat,8,4,True,1,Betonarme,Doğalgaz,2650000,İstanbul,Üsküdar,Cumhuriyet,https://www.hepsiemlak.com//en/istanbul-uskudar-cumhuriyet-satilik/daire/51556-3731

51556-3731,2,1,80,70,Ara Kat,8,4,True,1,Betonarme,Doğalgaz,,İstanbul,Üsküdar,Cumhuriyet,https://www.hepsiemlak.com//en/istanbul-kadikoy-caddebostan-satilik/daire/1005-3392

1005-3407,3,1,145,105,4,2,8,True,2,Betonarme,Doğalgaz,12950000,İstanbul,Kadıköy,Caddebostan,https://www.hepsiemlak.com//en/istanbul-kadikoy-caddebostan-satilik/daire/1005-3407

1005-3255,4,1,200,155,3,0,10,True,2,Betonarme,Doğalgaz,15500000,İstanbul,Kadıköy,Fenerbahçe,https://www.hepsiemlak.com//en/istanbul-kadikoy-fenerbahce-satilik/daire/1005-3255

1005-3255,4,1,200,155,3,0,10,True,2,Betonarme,Doğalgaz,,İstanbul,Kadıköy,Fenerbahçe,https://www.hepsiemlak.com//en/bursa-nilufer-30-agustos-zafer-satilik/daire/134694-22

134694-17,3,1,133,112,Zemin,0,9,True,2,Betonarme,Doğalgaz,2500000,Bursa,Nilüfer,Hasanağa,https://www.hepsiemlak.com//en/bursa-nilufer-hasanaga-satilik/daire/134694-17

16177-1585,4,1,210,185,1,6,4,True,2,Betonarme,Doğalgaz,7600000,Ankara,Çankaya,İlkbahar,https://www.hepsiemlak.com//en/ankara-cankaya-ilkbahar-satilik/daire/16177-1585

