ilan_no,room,salon,brut_m2,net_m2,floor_location,building_age,building_floor,compliance_with_loan,bathroom_amount,building_type,fuel_type,price,il,ilce,mahalle,home_link

61943-3462,2,1,105,95,6,4,7,True,1,Betonarme,Doğalgaz,1495000,İstanbul,Başakşehir,Bahçeşehir2.Kısım,https://www.hepsiemlak.com//en/istanbul-basaksehir-bahcesehir-2-kisim-satilik/daire/61943-3462

132040-379,1,1,70,65,2,2,4,True,1,Betonarme,Doğalgaz,1650000,Balıkesir,Edremit,Altınkum,https://www.hepsiemlak.com//en/balikesir-edremit-altinkum-satilik/daire/132040-379

121949-96,1,1,60,55,2,4,5,True,1,Betonarme,Elektrik,1535000,Antalya,Alanya,Avsallar,https://www.hepsiemlak.com//en/antalya-alanya-avsallar-satilik/daire/121949-96

134575-69,4,1,200,190,Ara Kat,12,4,True,2,Betonarme,Doğalgaz,3950000,Ankara,Çankaya,Öveçler,https://www.hepsiemlak.com//en/ankara-cankaya-ovecler-satilik/daire/134575-69

134575-73,5,2,360,355,3,10,3,True,1,Betonarme,Doğalgaz,2949000,Ankara,Keçiören,Ufuktepe,https://www.hepsiemlak.com//en/ankara-kecioren-ufuktepe-satilik/daire/134575-73

134044-7,3,1,130,117,1,0,6,True,2,Betonarme,Doğalgaz,1850000,Ankara,Yenimahalle,Susuz,https://www.hepsiemlak.com//en/ankara-yenimahalle-susuz-satilik/daire/134044-7

136296-54,5,2,200,195,4,4,4,True,2,Betonarme,Doğalgaz,2650000,Burdur,Bucak,Konak,https://www.hepsiemlak.com//en/burdur-bucak-konak-satilik/daire/136296-54

122845-1750,3,1,110,105,Yüksek Giriş,35,3,True,1,Betonarme,Doğalgaz,699000,Ankara,Mamak,AşıkVeysel,https://www.hepsiemlak.com//en/ankara-mamak-safaktepe-satilik/daire/122845-1750

129444-79,2,1,125,120,4,20,4,True,1,Betonarme,Doğalgaz,1950000,Sinop,Merkez,Yeni,https://www.hepsiemlak.com//en/sinop-merkez-yeni-satilik/daire/129444-79

129444-87,3,1,145,140,3,15,5,Bilinmiyor,1,Betonarme,Doğalgaz,2200000,Sinop,Merkez,Ada,https://www.hepsiemlak.com//en/sinop-merkez-ada-satilik/daire/129444-87

129444-89,2,1,97,95,3,10,4,True,1,Betonarme,Doğalgaz,1800000,Sinop,Merkez,Ada,https://www.hepsiemlak.com//en/sinop-merkez-ada-satilik/daire/129444-89

134501-40,3,1,130,120,2,4,5,True,1,Betonarme,Doğalgaz,1750000,Balıkesir,Burhaniye,Bahçelievler,https://www.hepsiemlak.com//en/balikesir-burhaniye-bahcelievler-satilik/daire/134501-40

1994-2885,5,2,275,270,5,25,5,True,3,Betonarme,Doğalgaz,7100000,İstanbul,Sarıyer,Zekeriyaköy,https://www.hepsiemlak.com//en/istanbul-sariyer-zekeriyakoy-satilik/daire/1994-2885

130418-151,3,1,135,125,Ara Kat,6,4,True,1,Betonarme,Doğalgaz,2150000,Kocaeli,Derince,YavuzSultan,https://www.hepsiemlak.com//en/kocaeli-derince-yavuz-sultan-satilik/daire/130418-151

14431-10361,3,1,150,145,1,30,3,True,1,Betonarme,Doğalgaz,1750000,Ankara,Keçiören,İncirli,https://www.hepsiemlak.com//en/ankara-kecioren-incirli-satilik/daire/14431-10361

56586-3165,7,1,300,270,6,2,6,True,2,Betonarme,Doğalgaz,2249000,Ankara,Keçiören,Ayvalı,https://www.hepsiemlak.com//en/ankara-kecioren-ayvali-satilik/daire/56586-3165

120761-96,2,1,85,75,4,15,4,True,1,Betonarme,Doğalgaz,1250000,Sinop,Merkez,Kaleyazısı,https://www.hepsiemlak.com//en/sinop-merkez-kaleyazisi-satilik/daire/120761-96

120761-96,2,1,85,75,4,15,4,True,1,Betonarme,Doğalgaz,,Sinop,Merkez,Kaleyazısı,https://www.hepsiemlak.com//en/karaman-merkez-tabduk-emre-satilik/daire/118935-4513

5116-758,3,1,135,125,1,4,3,True,2,Betonarme,Doğalgaz,1539000,Ankara,Keçiören,Yükseltepe,https://www.hepsiemlak.com//en/ankara-kecioren-yukseltepe-satilik/daire/5116-758

134635-27,3,1,135,125,Kot 3,0,6,True,2,Betonarme,Doğalgaz,1450000,Samsun,İlkadım,Kışla,https://www.hepsiemlak.com//en/samsun-ilkadim-kisla-satilik/daire/134635-27

114868-156,2,1,105,80,Ara Kat,8,5,True,1,Betonarme,Doğalgaz,1780000,Antalya,Alanya,Türkler,https://www.hepsiemlak.com//en/antalya-alanya-turkler-satilik/daire/114868-156

66315-1382,3,1,160,150,5,9,10,True,2,Betonarme,Doğalgaz,2195000,Ankara,Pursaklar,Merkez,https://www.hepsiemlak.com//en/ankara-pursaklar-merkez-satilik/daire/66315-1382

37307-230,3,1,145,135,Bahçe Katı,3,6,True,2,Betonarme,Doğalgaz,844999,İstanbul,Esenyurt,Cumhuriyet,https://www.hepsiemlak.com//en/istanbul-esenyurt-cumhuriyet-satilik/daire/37307-230

128085-339,2,0,76,68,Ara Kat,5,3,True,1,Betonarme,Doğalgaz,760000,Eskişehir,Tepebaşı,Sütlüce,https://www.hepsiemlak.com//en/eskisehir-tepebasi-sutluce-satilik/daire/128085-339

60015-537,4,1,172,150,3,4,5,True,2,Betonarme,Doğalgaz,5250000,Ankara,Gölbaşı,Hacılar,https://www.hepsiemlak.com//en/ankara-golbasi-hacilar-satilik/daire/60015-537

130971-83,3,1,140,110,Ara Kat,35,5,True,1,Betonarme,Doğalgaz,6500000,İstanbul,Kadıköy,Caferağa,https://www.hepsiemlak.com//en/istanbul-kadikoy-caferaga-satilik/daire/130971-83

84209-1780,3,1,140,115,7,13,16,True,2,Betonarme,Doğalgaz,5900000,İstanbul,Maltepe,Zümrütevler,https://www.hepsiemlak.com//en/istanbul-maltepe-zumrutevler-satilik/daire/84209-1780

84209-1774,2,1,100,90,En Üst Kat,28,4,True,1,Betonarme,Doğalgaz,2590000,İstanbul,Maltepe,Küçükyalı,https://www.hepsiemlak.com//en/istanbul-maltepe-kucukyali-satilik/daire/84209-1774

124045-90,2,1,85,70,En Üst Kat,6,4,True,1,Betonarme,Doğalgaz,1780000,İstanbul,Maltepe,Zümrütevler,https://www.hepsiemlak.com//en/istanbul-maltepe-zumrutevler-satilik/daire/124045-90

125358-148,3,1,160,150,1,0,3,True,2,Betonarme,Doğalgaz,4000000,İstanbul,Beylikdüzü,AdnanKahveci,https://www.hepsiemlak.com//en/istanbul-beylikduzu-adnan-kahveci-satilik/daire/125358-148

125960-206,3,1,158,145,Ara Kat,0,5,True,1,Betonarme,Doğalgaz,1550000,Bolu,Merkez,Semerkant,https://www.hepsiemlak.com//en/bolu-merkez-semerkant-satilik/daire/125960-206

86151-110,3,1,125,120,Ara Kat,26,4,True,1,Betonarme,Doğalgaz,2275000,Ankara,Çankaya,Harbiye,https://www.hepsiemlak.com//en/ankara-cankaya-harbiye-satilik/daire/86151-110

19744-21783,3,1,200,180,10,9,10,True,2,Betonarme,Doğalgaz,2400000,Mersin(İçel),Mezitli,Merkez,https://www.hepsiemlak.com//en/mersinicel-mezitli-merkez-satilik/daire/19744-21783

128572-1096,2,1,95,90,1,4,3,True,1,Betonarme,Elektrik,1599000,Antalya,Kepez,Güneş,https://www.hepsiemlak.com//en/antalya-kepez-gunes-satilik/daire/128572-1096

135979-24,2,1,125,110,6,21,6,True,1,Betonarme,Elektrik,870000,Denizli,Pamukkale,Kuşpınar,https://www.hepsiemlak.com//en/denizli-pamukkale-kuspinar-satilik/daire/135979-24

128575-141,2,1,100,90,Ara Kat,12,3,True,1,Betonarme,Elektrik,1675000,İzmir,Balçova,Onur,https://www.hepsiemlak.com//en/izmir-balcova-onur-satilik/daire/128575-141

136138-11,2,1,95,90,1,3,12,Bilinmiyor,1,Betonarme,Doğalgaz,870000,Ankara,Mamak,Gülveren,https://www.hepsiemlak.com//en/ankara-mamak-gulveren-satilik/daire/136138-11

79831-1276,3,1,110,96,4,27,15,True,1,Betonarme,Doğalgaz,1850000,Ankara,Etimesgut,ŞehitOsmanAvcı,https://www.hepsiemlak.com//en/ankara-etimesgut-sehit-osman-avci-satilik/daire/79831-1276

135557-38,3,1,135,130,2,5,4,True,1,Betonarme,Doğalgaz,1659000,Ankara,Keçiören,Kanuni,https://www.hepsiemlak.com//en/ankara-kecioren-kanuni-satilik/daire/135557-38

84036-25347,2,1,110,100,1,20,4,True,1,Betonarme,Kömür-Odun,1399000,Balıkesir,Edremit,Akçay,https://www.hepsiemlak.com//en/balikesir-edremit-akcay-satilik/daire/84036-25347

134575-53,8,1,420,400,3,20,3,True,2,Betonarme,Doğalgaz,2650000,Ankara,Keçiören,Pınarbaşı,https://www.hepsiemlak.com//en/ankara-kecioren-pinarbasi-satilik/daire/134575-53

134575-63,4,1,160,150,3,20,3,True,1,Betonarme,Doğalgaz,1800000,Ankara,Keçiören,Pınarbaşı,https://www.hepsiemlak.com//en/ankara-kecioren-pinarbasi-satilik/daire/134575-63

134575-44,3,1,140,135,1,20,4,True,1,Betonarme,Doğalgaz,1695000,Ankara,Keçiören,Uyanış,https://www.hepsiemlak.com//en/ankara-kecioren-uyanis-satilik/daire/134575-44

134575-51,3,1,135,130,1,16,4,True,1,Betonarme,Doğalgaz,1225000,Ankara,Keçiören,Bağlarbaşı,https://www.hepsiemlak.com//en/ankara-kecioren-baglarbasi-satilik/daire/134575-51

134575-70,3,1,115,110,Yüksek Giriş,15,4,True,2,Betonarme,Doğalgaz,1225000,Ankara,Keçiören,Güçlükaya,https://www.hepsiemlak.com//en/ankara-kecioren-guclukaya-satilik/daire/134575-70

134575-66,2,1,110,100,1,20,3,True,1,Betonarme,Doğalgaz,850000,Ankara,Keçiören,Uyanış,https://www.hepsiemlak.com//en/ankara-kecioren-uyanis-satilik/daire/134575-66

134575-2,3,1,120,115,Yüksek Giriş,15,7,True,1,Betonarme,Doğalgaz,1194000,Ankara,Keçiören,Bağlarbaşı,https://www.hepsiemlak.com//en/ankara-kecioren-baglarbasi-satilik/daire/134575-2

125709-129,2,1,100,85,4,0,7,True,2,Betonarme,Kömür-Odun,1650000,Balıkesir,Edremit,Eroğlan,https://www.hepsiemlak.com//en/balikesir-edremit-eroglan-satilik/daire/125709-129

84036-24638,3,1,140,130,3,9,3,True,1,Betonarme,Kömür-Odun,2150000,Balıkesir,Edremit,Akçay,https://www.hepsiemlak.com//en/balikesir-edremit-akcay-satilik/daire/84036-24638

70383-4346,2,1,120,100,3,0,4,True,2,Betonarme,Doğalgaz,1748000,İstanbul,Başakşehir,Bahçeşehir2.Kısım,https://www.hepsiemlak.com//en/istanbul-basaksehir-bahcesehir-2-kisim-satilik/daire/70383-4346

70383-4436,2,1,110,100,Ara Kat,0,6,True,1,Betonarme,Doğalgaz,1690000,İstanbul,Esenyurt,Ardıçlı,https://www.hepsiemlak.com//en/istanbul-esenyurt-ardicli-satilik/daire/70383-4436

70383-4380,2,1,100,90,2,0,4,True,1,Betonarme,Doğalgaz,1850000,İstanbul,Esenyurt,Akşemseddin,https://www.hepsiemlak.com//en/istanbul-esenyurt-aksemseddin-satilik/daire/70383-4380

129904-282,3,1,165,110,6,0,14,True,2,Betonarme,Doğalgaz,900000,Adana,Sarıçam,Osmangazi,https://www.hepsiemlak.com//en/adana-saricam-osmangazi-satilik/daire/129904-282

14431-10362,3,1,140,130,3,15,4,True,2,Betonarme,Doğalgaz,1920000,Ankara,Keçiören,İncirli,https://www.hepsiemlak.com//en/ankara-kecioren-incirli-satilik/daire/14431-10362

123507-800,1,1,90,80,2,0,5,True,1,Betonarme,Doğalgaz,1000000,İstanbul,Beylikdüzü,Cumhuriyet,https://www.hepsiemlak.com//en/istanbul-beylikduzu-cumhuriyet-satilik/daire/123507-800

27590-4370,3,1,135,120,1,25,3,True,1,Betonarme,Doğalgaz,2490000,Ankara,Çankaya,İlkadım,https://www.hepsiemlak.com//en/ankara-cankaya-ilkadim-satilik/daire/27590-4370

27590-4354,3,1,145,135,1,26,3,True,2,Betonarme,Doğalgaz,2750000,Ankara,Çankaya,Aydınlar,https://www.hepsiemlak.com//en/ankara-cankaya-aydinlar-satilik/daire/27590-4354

130075-17,4,1,175,160,5,0,10,True,2,Betonarme,Doğalgaz,2750000,Trabzon,Ortahisar,2NoluBeşirli,https://www.hepsiemlak.com//en/trabzon-ortahisar-2-nolu-besirli-satilik/daire/130075-17

120099-2580,1,1,75,70,3,4,4,True,1,Betonarme,Elektrik,1370000,Balıkesir,Edremit,Akçay,https://www.hepsiemlak.com//en/balikesir-edremit-akcay-satilik/daire/120099-2580

104059-363,3,1,205,170,5,5,11,True,2,Betonarme,Doğalgaz,3550000,Samsun,Atakum,Mevlana,https://www.hepsiemlak.com//en/samsun-atakum-mevlana-satilik/daire/104059-363

5116-742,4,1,200,180,13,4,15,True,2,Betonarme,Doğalgaz,2949000,Ankara,Keçiören,Ayvalı,https://www.hepsiemlak.com//en/ankara-kecioren-ayvali-satilik/daire/5116-742

3448-13952,2,1,80,70,3,28,4,True,1,Betonarme,Doğalgaz,1475000,İstanbul,Zeytinburnu,Sümer,https://www.hepsiemlak.com//en/istanbul-zeytinburnu-sumer-satilik/daire/3448-13952

67236-2676,2,1,96,74,2,0,3,True,1,Betonarme,Elektrik,3000000,Muğla,Milas,Meşelik,https://www.hepsiemlak.com//en/mugla-milas-meselik-satilik/daire/67236-2676

67236-2842,1,1,38,35,Yüksek Giriş,3,4,True,1,Betonarme,Doğalgaz,825000,Balıkesir,Altıeylül,Dinkçiler,https://www.hepsiemlak.com//en/balikesir-altieylul-dinkciler-satilik/daire/67236-2842

9028-4072,3,1,125,120,5,15,8,True,2,Betonarme,Doğalgaz,1249000,Ankara,Keçiören,Esertepe,https://www.hepsiemlak.com//en/ankara-kecioren-esertepe-satilik/daire/9028-4072

133908-24,3,1,130,115,En Üst Kat,0,4,True,2,Betonarme,Doğalgaz,1550000,Ankara,Sincan,FevziÇakmak,https://www.hepsiemlak.com//en/ankara-sincan-fevzi-cakmak-satilik/daire/133908-24

133908-20,3,1,125,115,4,16,4,True,1,Betonarme,Doğalgaz,1100000,Ankara,Sincan,Andiçen,https://www.hepsiemlak.com//en/ankara-sincan-andicen-satilik/daire/133908-20

133908-25,3,1,140,120,4,16,4,True,1,Betonarme,Doğalgaz,1115000,Ankara,Sincan,Plevne,https://www.hepsiemlak.com//en/ankara-sincan-plevne-satilik/daire/133908-25

133908-26,2,1,110,90,4,16,4,True,1,Betonarme,Doğalgaz,1110000,Ankara,Etimesgut,Atakent,https://www.hepsiemlak.com//en/ankara-etimesgut-atakent-satilik/daire/133908-26

133908-27,3,1,120,110,4,16,4,True,1,Betonarme,Doğalgaz,1250000,Ankara,Sincan,Andiçen,https://www.hepsiemlak.com//en/ankara-sincan-andicen-satilik/daire/133908-27

134720-2,3,1,155,120,3,35,4,True,1,Betonarme,Elektrik,1325000,Adana,Çukurova,Beyazevler,https://www.hepsiemlak.com//en/adana-cukurova-beyazevler-satilik/daire/134720-2

121517-411,4,2,190,170,5,15,5,True,2,Betonarme,Doğalgaz,2499000,İstanbul,Avcılar,MustafaKemalPaşa,https://www.hepsiemlak.com//en/istanbul-avcilar-mustafa-kemal-pasa-satilik/daire/121517-411

43480-9180,1,1,55,50,Yüksek Giriş,27,7,True,1,Betonarme,Doğalgaz,1250000,Ankara,Etimesgut,Tunahan,https://www.hepsiemlak.com//en/ankara-etimesgut-tunahan-satilik/daire/43480-9180

53165-27561,2,1,65,55,Yüksek Giriş,27,9,True,2,Betonarme,Doğalgaz,3350000,İstanbul,Kadıköy,Bostancı,https://www.hepsiemlak.com//en/istanbul-kadikoy-bostanci-satilik/daire/53165-27561

136342-21,4,1,150,149,3,5,3,True,2,Betonarme,Doğalgaz,1299000,Denizli,Pamukkale,Fesleğen,https://www.hepsiemlak.com//en/denizli-pamukkale-feslegen-satilik/daire/136342-21

136342-30,1,1,50,49,Bahçe Katı,4,4,True,1,Betonarme,Doğalgaz,725000,Denizli,Pamukkale,Kınıklı,https://www.hepsiemlak.com//en/denizli-pamukkale-kinikli-satilik/daire/136342-30

136342-32,3,1,130,125,2,5,3,True,1,Betonarme,Doğalgaz,1700000,Denizli,Merkezefendi,Sırakapılar,https://www.hepsiemlak.com//en/denizli-merkezefendi-sirakapilar-satilik/daire/136342-32

85986-3133,1,1,66,60,1,0,6,True,1,Betonarme,Doğalgaz,865000,Zonguldak,Alaplı,Tepeköy,https://www.hepsiemlak.com//en/zonguldak-alapli-tepekoy-satilik/daire/85986-3133

129003-166,4,1,165,160,7,3,10,True,2,Betonarme,Doğalgaz,2200000,Ankara,Sincan,Pınarbaşı,https://www.hepsiemlak.com//en/ankara-sincan-pinarbasi-satilik/daire/129003-166

43480-9171,1,1,50,48,3,31,15,True,1,Betonarme,Doğalgaz,1290000,Ankara,Etimesgut,ŞehitOsmanAvcı,https://www.hepsiemlak.com//en/ankara-etimesgut-sehit-osman-avci-satilik/daire/43480-9171

43480-9179,3,1,160,147,2,12,10,True,1,Betonarme,Doğalgaz,2600000,Ankara,Etimesgut,YavuzSelim,https://www.hepsiemlak.com//en/ankara-etimesgut-yavuz-selim-satilik/daire/43480-9179

41886-1519,4,0,90,85,3,5,3,True,2,Betonarme,Doğalgaz,1000000,Burdur,Merkez,FevziÇakmak,https://www.hepsiemlak.com//en/burdur-merkez-fevzi-cakmak-satilik/daire/41886-1519

41886-1507,3,1,148,135,1,5,3,True,1,Betonarme,Doğalgaz,1450000,Burdur,Merkez,Bozkurt,https://www.hepsiemlak.com//en/burdur-merkez-bozkurt-satilik/daire/41886-1507

79831-1273,4,1,190,170,4,5,19,True,2,Betonarme,Doğalgaz,3025000,Ankara,Etimesgut,Göksu,https://www.hepsiemlak.com//en/ankara-etimesgut-goksu-satilik/daire/79831-1273

14431-10277,3,1,125,120,3,30,3,True,1,Betonarme,Doğalgaz,2045000,Ankara,Keçiören,Etlik,https://www.hepsiemlak.com//en/ankara-kecioren-etlik-satilik/daire/14431-10277

39746-817,3,1,125,120,Kot 1,30,3,True,2,Betonarme,Doğalgaz,2400000,Ankara,Çankaya,İlkadım,https://www.hepsiemlak.com//en/ankara-cankaya-ilkadim-satilik/daire/39746-817

39746-821,3,1,130,120,1,22,8,True,2,Betonarme,Doğalgaz,1975000,Ankara,Çankaya,MetinAkkuş,https://www.hepsiemlak.com//en/ankara-cankaya-metin-akkus-satilik/daire/39746-821

113388-1729,2,1,95,90,Kot 1,15,3,True,1,Betonarme,Doğalgaz,695000,Ankara,Etimesgut,Topçu,https://www.hepsiemlak.com//en/ankara-etimesgut-topcu-satilik/daire/113388-1729

113388-1705,2,1,90,80,Yüksek Giriş,15,3,True,1,Betonarme,Doğalgaz,765000,Ankara,Etimesgut,Piyade,https://www.hepsiemlak.com//en/ankara-etimesgut-piyade-satilik/daire/113388-1705

14431-10339,3,1,120,115,1,30,2,True,1,Betonarme,Doğalgaz,1375000,Ankara,Keçiören,İncirli,https://www.hepsiemlak.com//en/ankara-kecioren-incirli-satilik/daire/14431-10339

14431-10349,4,1,160,150,3,25,3,True,1,Betonarme,Doğalgaz,1290000,Ankara,Keçiören,İncirli,https://www.hepsiemlak.com//en/ankara-kecioren-incirli-satilik/daire/14431-10349

123494-165,3,1,110,100,Bahçe Katı,9,5,True,2,Betonarme,Doğalgaz,2670000,İstanbul,Beylikdüzü,AdnanKahveci,https://www.hepsiemlak.com//en/istanbul-beylikduzu-adnan-kahveci-satilik/daire/123494-165

41553-6784,6,1,300,285,4,12,4,True,4,Betonarme,Doğalgaz,5850000,Ankara,Çankaya,YukarıÖveçler,https://www.hepsiemlak.com//en/ankara-cankaya-yukari-ovecler-satilik/daire/41553-6784

92535-817,2,1,100,95,3,12,5,True,1,Betonarme,Doğalgaz,5350000,Antalya,Muratpaşa,Bahçelievler,https://www.hepsiemlak.com//en/antalya-muratpasa-bahcelievler-satilik/daire/92535-817

92535-882,3,1,145,135,4,0,5,True,2,Betonarme,Doğalgaz,7900000,Antalya,Muratpaşa,Bahçelievler,https://www.hepsiemlak.com//en/antalya-muratpasa-bahcelievler-satilik/daire/92535-882

113804-691,3,1,127,113,1,10,3,True,2,Betonarme,Doğalgaz,1349000,Ankara,Etimesgut,Piyade,https://www.hepsiemlak.com//en/ankara-etimesgut-piyade-satilik/daire/113804-691

5497-6251,2,1,100,90,1,32,3,True,1,Betonarme,Doğalgaz,1725000,Ankara,Çankaya,Emek,https://www.hepsiemlak.com//en/ankara-cankaya-emek-satilik/daire/5497-6251

5497-6313,2,1,110,90,3,5,3,True,1,Betonarme,Doğalgaz,2850000,Ankara,Çankaya,Emek,https://www.hepsiemlak.com//en/ankara-cankaya-emek-satilik/daire/5497-6313

5497-6316,3,1,120,110,1,35,3,True,1,Betonarme,Doğalgaz,1950000,Ankara,Çankaya,Ayrancı,https://www.hepsiemlak.com//en/ankara-cankaya-ayranci-satilik/daire/5497-6316

60885-492,2,1,75,70,Yüksek Giriş,45,4,True,1,Betonarme,Doğalgaz,1700000,İstanbul,Fatih,SeyyidÖmer,https://www.hepsiemlak.com//en/istanbul-fatih-seyyid-omer-satilik/daire/60885-492

95656-1228,2,1,110,105,2,25,3,True,1,Betonarme,Doğalgaz,1045000,Ankara,Keçiören,19Mayıs,https://www.hepsiemlak.com//en/ankara-kecioren-19-mayis-satilik/daire/95656-1228

128085-359,2,1,90,80,En Üst Kat,6,3,True,1,Betonarme,Doğalgaz,900000,Eskişehir,Tepebaşı,Fatih,https://www.hepsiemlak.com//en/eskisehir-tepebasi-fatih-satilik/daire/128085-359

22893-4466,2,1,100,90,1,7,4,True,1,Betonarme,Doğalgaz,2150000,Antalya,Muratpaşa,Doğuyaka,https://www.hepsiemlak.com//en/antalya-muratpasa-doguyaka-satilik/daire/22893-4466

135936-13,2,1,88,72,3,7,5,True,1,Betonarme,Doğalgaz,70000,K.K.T.C.,Gazimağusa,Karakol,https://www.hepsiemlak.com//en/kktc-gazimagusa-karakol-satilik/daire/135936-13

121490-157,2,1,120,110,2,0,6,True,1,Betonarme,Doğalgaz,999000,İstanbul,Beylikdüzü,Cumhuriyet,https://www.hepsiemlak.com//en/istanbul-beylikduzu-cumhuriyet-satilik/daire/121490-157

121490-195,3,1,145,135,2,4,6,True,1,Betonarme,Doğalgaz,1349000,İstanbul,Beylikdüzü,BeylikdüzüOSB,https://www.hepsiemlak.com//en/istanbul-beylikduzu-beylikduzu-osb-satilik/daire/121490-195

42326-306,2,1,75,56,1,11,14,True,1,Betonarme,Doğalgaz,1045000,İstanbul,Silivri,Yeni,https://www.hepsiemlak.com//en/istanbul-silivri-yeni-satilik/daire/42326-306

43837-3505,2,1,110,100,4,0,4,True,1,Betonarme,Doğalgaz,1150000,İstanbul,Beylikdüzü,Cumhuriyet,https://www.hepsiemlak.com//en/istanbul-beylikduzu-cumhuriyet-satilik/daire/43837-3505

50772-23,3,1,110,100,Yüksek Giriş,4,4,True,1,Betonarme,Doğalgaz,1550000,Antalya,Kepez,HüsnüKarakaş,https://www.hepsiemlak.com//en/antalya-kepez-husnu-karakas-satilik/daire/50772-23

135936-3,3,1,250,150,Villa Katı,18,3,True,3,Betonarme,Doğalgaz,170000,K.K.T.C.,Girne,Karaoğlanoğlu,https://www.hepsiemlak.com//en/kktc-girne-karaoglanoglu-satilik/daire/135936-3

50772-44,4,2,205,190,3,0,4,True,2,Betonarme,Doğalgaz,2950000,Antalya,Kepez,FevziÇakmak,https://www.hepsiemlak.com//en/antalya-kepez-fevzi-cakmak-satilik/daire/50772-44

36851-22790,4,1,170,165,1,18,2,True,1,Betonarme,Doğalgaz,1970000,Ankara,Çankaya,MürselUluç,https://www.hepsiemlak.com//en/ankara-cankaya-mursel-uluc-satilik/daire/36851-22790

37307-221,2,1,125,110,Ara Kat,6,5,True,1,Betonarme,Doğalgaz,795000,İstanbul,Esenyurt,Fatih,https://www.hepsiemlak.com//en/istanbul-esenyurt-fatih-satilik/daire/37307-221

124560-59,2,1,160,130,2,0,2,True,2,Betonarme,Doğalgaz,3080000,Balıkesir,Edremit,Altınoluk,https://www.hepsiemlak.com//en/balikesir-edremit-altinoluk-satilik/daire/124560-59

4480-23182,4,1,210,175,8,0,14,True,2,Betonarme,Doğalgaz,3400000,Ankara,Pursaklar,Tevfikİleri,https://www.hepsiemlak.com//en/ankara-pursaklar-tevfik-ileri-satilik/daire/4480-23182

4480-23223,6,2,360,340,12,0,12,True,5,Betonarme,Doğalgaz,11750000,Ankara,Pursaklar,Fatih,https://www.hepsiemlak.com//en/ankara-pursaklar-fatih-satilik/daire/4480-23223

119882-3613,3,1,130,125,2,10,3,True,1,Betonarme,Doğalgaz,1589000,Ankara,Etimesgut,Alsancak,https://www.hepsiemlak.com//en/ankara-etimesgut-alsancak-satilik/daire/119882-3613

126582-30,3,1,165,150,2,30,5,True,1,Betonarme,Elektrik,1575000,Mersin(İçel),Akdeniz,Nusratiye,https://www.hepsiemlak.com//en/mersinicel-akdeniz-nusratiye-satilik/daire/126582-30

7597-3227,4,1,180,150,5,40,5,True,3,Betonarme,Doğalgaz,17000000,İstanbul,Beşiktaş,Akat,https://www.hepsiemlak.com//en/istanbul-besiktas-akat-satilik/daire/7597-3227

84209-1777,3,1,120,95,Giriş Katı,26,4,True,1,Betonarme,Doğalgaz,2945000,İstanbul,Maltepe,Altıntepe,https://www.hepsiemlak.com//en/istanbul-maltepe-altintepe-satilik/daire/84209-1777

28568-11826,3,1,150,145,Ara Kat,18,5,True,2,Betonarme,Doğalgaz,3200000,Ankara,Çankaya,ŞehitCevdetÖzdemir,https://www.hepsiemlak.com//en/ankara-cankaya-sehit-cevdet-ozdemir-satilik/daire/28568-11826

4918-1692,2,1,95,90,1,10,5,True,1,Betonarme,Doğalgaz,1175000,Tekirdağ,Süleymanpaşa,Vatan,https://www.hepsiemlak.com//en/tekirdag-suleymanpasa-vatan-satilik/daire/4918-1692

85799-2546,3,1,140,130,2,4,3,True,2,Betonarme,Doğalgaz,1600000,Ankara,Keçiören,Hisar,https://www.hepsiemlak.com//en/ankara-kecioren-hisar-satilik/daire/85799-2546

4380-11274,4,1,165,150,Ara Kat,10,4,True,2,Betonarme,Doğalgaz,3450000,Ankara,Çankaya,SokulluMehmetPaşa,https://www.hepsiemlak.com//en/ankara-cankaya-sokullu-mehmet-pasa-satilik/daire/4380-11274

131827-73,1,1,60,46,3,0,4,True,1,Betonarme,Elektrik,1425000,Antalya,Finike,Kum,https://www.hepsiemlak.com//en/antalya-finike-kum-satilik/daire/131827-73

103607-163,3,1,125,120,2,11,4,True,1,Betonarme,Doğalgaz,1258000,Ankara,Etimesgut,Süvari,https://www.hepsiemlak.com//en/ankara-etimesgut-suvari-satilik/daire/103607-163

104677-913,2,1,110,100,1,13,5,True,1,Betonarme,Doğalgaz,1650000,İstanbul,Avcılar,Üniversite,https://www.hepsiemlak.com//en/istanbul-avcilar-universite-satilik/daire/104677-913

11065-1907,3,1,110,100,Yüksek Giriş,45,4,True,1,Betonarme,Doğalgaz,1770000,Ankara,Çankaya,Ayrancı,https://www.hepsiemlak.com//en/ankara-cankaya-ayranci-satilik/daire/11065-1907

11065-1911,3,1,135,125,3,40,4,True,1,Betonarme,Doğalgaz,2000000,Ankara,Çankaya,Ayrancı,https://www.hepsiemlak.com//en/ankara-cankaya-ayranci-satilik/daire/11065-1911

128324-346,3,1,128,107,2,8,3,True,1,Betonarme,Doğalgaz,1380000,Eskişehir,Tepebaşı,Çamlıca,https://www.hepsiemlak.com//en/eskisehir-tepebasi-camlica-satilik/daire/128324-346

